Word,Frequency,Rows with Word,Percentage of Rows with Word
love,2355,428,56.9149
time,763,287,38.1649
night,714,238,31.6489
baby,688,194,25.7979
heart,582,219,29.1223
see,553,274,36.4362
right,454,206,27.3936
give,391,147,19.5479
life,385,157,20.8777
girl,326,120,15.9574
look,324,138,18.3511
day,314,149,19.8138
turn,299,108,14.3617
hold,295,137,18.2181
tonight,281,86,11.4362
mind,271,116,15.4255
man,248,112,14.8936
true,248,90,11.9681
hear,247,97,12.8989
find,243,141,18.75
long,241,123,16.3564
call,212,74,9.8404
touch,202,73,9.7074
dance,200,56,7.4468
said,194,107,14.2287
nothing,193,85,11.3032
live,190,82,10.9043
talk,186,51,6.7819
walk,183,72,9.5745
rock,180,26,3.4574
hard,176,93,12.367
inside,175,97,12.8989
together,175,80,10.6383
forever,165,62,8.2447
stop,162,64,8.5106
sweet,159,66,8.7766
fall,158,66,8.7766
beat,158,40,5.3191
stay,156,98,13.0319
show,152,68,9.0426
wait,151,64,8.5106
end,149,51,6.7819
alone,148,95,12.633
free,146,60,7.9787
play,145,74,9.8404
dream,145,63,8.3777
fire,143,52,6.9149
light,141,77,10.2394
move,139,59,7.8457
face,138,74,9.8404
crazy,133,54,7.1809
change,132,64,8.5106
boy,132,52,6.9149
break,129,56,7.4468
open,126,41,5.4521
leave,125,81,10.7713
lose,124,59,7.8457
wild,123,30,3.9894
head,122,58,7.7128
place,119,61,8.1117
mean,119,45,5.984
thought,117,68,9.0426
door,117,66,8.7766
control,116,35,4.6543
real,115,75,9.9734
set,115,31,4.1223
people,114,70,9.3085
best,114,60,7.9787
stand,113,62,8.2447
money,113,38,5.0532
lost,112,53,7.0479
knew,111,65,8.6436
start,111,49,6.516
hand,109,74,9.8404
close,109,62,8.2447
wrong,107,66,8.7766
hurt,106,47,6.25
high,105,51,6.7819
cry,105,50,6.6489
bring,104,41,5.4521
told,102,58,7.7128
wind,102,31,4.1223
shake,100,25,3.3245
street,98,45,5.984
kiss,95,42,5.5851
chance,94,55,7.3138
name,94,47,6.25
forget,94,41,5.4521
care,93,54,7.1809
ride,92,33,4.3883
body,90,37,4.9202
strong,89,47,6.25
town,89,40,5.3191
roll,88,21,2.7926
deep,87,56,7.4468
fight,87,50,6.6489
young,84,42,5.5851
rain,84,36,4.7872
side,83,47,6.25
sleep,81,39,5.1862
soul,80,43,5.7181
listen,80,40,5.3191
fun,80,30,3.9894
music,80,27,3.5904
easy,79,48,6.383
cold,78,49,6.516
blue,78,36,4.7872
eye,78,27,3.5904
heat,78,21,2.7926
sun,77,45,5.984
late,76,41,5.4521
watch,76,34,4.5213
city,76,29,3.8564
big,75,38,5.0532
moment,75,34,4.5213
slow,73,29,3.8564
left,72,48,6.383
woman,69,31,4.1223
fine,68,41,5.4521
guess,67,35,4.6543
alive,67,27,3.5904
heaven,67,25,3.3245
work,66,45,5.984
cool,66,27,3.5904
rhythm,66,21,2.7926
hide,64,45,5.984
pain,64,41,5.4521
bit,64,21,2.7926
step,64,20,2.6596
lady,64,17,2.2606
sound,62,30,3.9894
party,62,21,2.7926
sure,61,41,5.4521
meet,61,28,3.7234
sad,61,27,3.5904
under,60,33,4.3883
song,59,36,4.7872
today,59,32,4.2553
heard,58,39,5.1862
friend,58,35,4.6543
fool,56,29,3.8564
wake,56,23,3.0585
carry,56,21,2.7926
hope,55,34,4.5213
blind,55,32,4.2553
shine,55,30,3.9894
clear,54,34,4.5213
read,54,33,4.3883
star,54,22,2.9255
sky,53,31,4.1223
caught,53,28,3.7234
truth,52,31,4.1223
ground,52,28,3.7234
hit,52,23,3.0585
road,51,29,3.8564
lie,51,27,3.5904
car,51,25,3.3245
middle,51,21,2.7926
feet,50,38,5.0532
game,50,35,4.6543
floor,50,28,3.7234
sing,49,30,3.9894
reason,48,33,4.3883
die,48,27,3.5904
smile,47,42,5.5851
room,47,28,3.7234
happy,47,23,3.0585
ready,46,25,3.3245
felt,45,28,3.7234
dark,45,24,3.1915
win,45,23,3.0585
word,44,29,3.8564
wall,44,23,3.0585
lay,44,19,2.5266
share,43,32,4.2553
fast,43,26,3.4574
honey,43,22,2.9255
pretty,43,21,2.7926
sight,43,21,2.7926
warm,42,26,3.4574
child,42,17,2.2606
tight,41,32,4.2553
air,41,23,3.0585
gave,40,28,3.7234
fly,40,25,3.3245
broken,40,23,3.0585
desire,39,21,2.7926
babe,39,21,2.7926
hang,38,26,3.4574
rest,38,22,2.9255
minute,38,16,2.1277
met,37,26,3.4574
meant,37,24,3.1915
cut,37,22,2.9255
romance,36,19,2.5266
children,36,16,2.1277
reach,35,25,3.3245
darling,35,18,2.3936
low,35,16,2.1277
hair,34,27,3.5904
top,34,19,2.5266
spend,34,19,2.5266
embed,33,33,4.3883
save,32,21,2.7926
special,32,16,2.1277
tomorrow,31,25,3.3245
phone,31,24,3.1915
afraid,31,21,2.7926
treat,31,17,2.2606
fear,30,20,2.6596
radio,30,20,2.6596
house,30,18,2.3936
fill,29,19,2.5266
drive,28,20,2.6596
throw,28,19,2.5266
school,28,19,2.5266
promise,28,19,2.5266
taste,28,19,2.5266
pay,26,21,2.7926
catch,26,21,2.7926
nice,26,19,2.5266
power,26,17,2.2606
doubt,25,23,3.0585
full,25,21,2.7926
god,25,18,2.3936
half,25,17,2.2606
follow,24,19,2.5266
pray,23,17,2.2606
single,23,16,2.1277
fantasy,22,18,2.3936
fell,22,17,2.2606
yesterday,22,16,2.1277
count,22,16,2.1277
bed,20,19,2.5266
white,20,18,2.3936
sit,19,16,2.1277
